no,creation_date,q1_1,q1_2,q1_3_1,q1_3_2,q1_3_3,q1_3_3_r,q2_1,q2_2,q2_3_1,q2_3_2,q2_3_2_r,q2_3_3,q2_3_3_o,q2_4_1,q2_4_1_o,q2_4_2,q2_5_1,q2_5_1_o,q2_5_2,q2_5_2_o,q2_6_1,q2_6_2,q2_6_3,q2_6_3_o,q2_6_4,q2_6_5,q2_6_6,q2_6_6_o,q2_6_7,q2_6_8,q2_7_1,q2_7_1_o,q2_7_2,q2_7_2_o,q3_1,q3_2,q3_2_o,q3_3,q3_3_o,q4_1_1,q4_1_2,q4_1_3,q4_1_4,q4_2_1,q4_2_1_o,q4_2_2,q4_2_2_o,q4_3,q4_4_1,q4_4_2,q4_4_2_o,q4_4_3,q4_4_3_o,q4_5,q4_6_1,q4_6_2,q4_6_3,q4_6_4,q4_6_5,q4_6_6,q4_6_7,q4_6_8,q4_6_9,weight
3687,2018/6/7 上午 00:35:41.342000,1,3,2,1,2,2,1,2,201006,201505,103,2, ,7,1,99,15, ,1,",",2,2,98, ,98,98,"2,5", ,98,98,1, ,4, ,1,13, , , ,1,1,4,98,1, ,11, ,1,1,98, ,98, ,1,1,1,1,1,1,1,1,1,3,1.28681020635876
462,2018/6/25 上午 11:51:30.440000,2,4,1,1,2,2,1,1,200204,200503,93,2, ,7,1,1,60, ,1,",",1,2,98, ,98,98,"2,5,7", ,98,98,1, ,4, ,3,"1,2,9", ,"5,7,10", ,1,1,4,98,1, ,11, ,2,1,98, ,98, ,2,2,3,3,2,2,2,2,2,1,1.29449366375575
3193,2018/6/13 下午 17:42:42.235000,2,5,2,1,2,2,1,2,200003,200503,93,2, ,7,1,1,60, ,1,",",2,2,98, ,98,98,"2,6,7", ,98,98,1, ,7, ,1,"1,2,4", ,"5,6", ,1,1,4,98,1, ,11, ,1,1,98, ,98, ,1,1,3,3,3,3,1,4,1,5,1.29449366375575
633,2018/6/25 上午 10:40:44.378000,1,3,2,1,2,2,1,2,200409,201401,102,1, ,1,98,2,77, ,1,",",1,2,98, ,98,98,"2,7", ,98,98,1, ,2, ,2,"1,2,3", ,5, ,1,1,3,2,1, ,11, ,1,1,98, ,98, ,1,1,3,98,98,98,98,98,98,98,1.30947933310862
2102,2018/6/14 下午 13:44:01.128000,2,7,2,2,1,3,3,4,199908,200308,91,2, ,7,1,2,45, ,1,",",2,2,98, ,98,98,5, ,98,98,1, ,4, ,1,"1,9,11", ,6, ,1,1,2,98,1, ,11, ,2,1,98, ,98, ,1,1,98,98,1,98,98,98,98,98,1.31183793481512
2879,2018/6/13 下午 20:52:08.673000,2,6,2,2,1,3,2,3,199809,200212,91,2, ,7,1,2,45, ,1,",",2,2,98, ,98,98,1, ,98,98,1, ,3, ,1,"1,2,5", ,7, ,1,1,2,98,1, ,11, ,1,1,98, ,98, ,1,1,6,1,98,98,98,98,98,98,1.31183793481512
71,2018/6/25 下午 19:01:17.426000,2,7,2,2,2,4,5,6,200807,201205,100,2, ,6,98,2,45, ,1,",",2,2,98, ,98,98,"2,6,7", ,98,98,1, ,5, ,1,"2,4,11", ,10, ,1,1,1,98,1, ,11, ,2,1,98, ,98, ,2,2,2,2,2,2,2,2,6,2,1.32786415027252
2720,2018/6/13 下午 22:16:34.729000,1,4,2,1,2,2,1,2,200308,200707,95,2, ,7,1,2,23, ,1,",",1,2,98, ,98,98,"2,5", ,98,98,1, ,7, ,2,"8,9,11", ,12, ,1,1,3,1,1, ,11, ,3,1,98, ,98, ,2,2,2,2,2,3,3,2,3,3,1.36293466930718
867,2018/6/25 上午 09:39:40.571000,2,5,2,1,2,2,1,2,199804,200202,90,2, ,7,1,1,54, ,1,",",2,2,98, ,98,98,7, ,98,98,1, ,9, ,1,"1,2,9", ,12,無,1,1,4,98,1, ,11, ,3,1,98, ,98, ,3,1,98,98,98,98,98,98,98,1,1.36856513421568
2631,2018/6/13 下午 23:20:43.112000,1,3,2,1,2,2,1,2,200709,201201,100,2, ,3,98,1,60, ,1,",",1,2,98, ,98,98,"6,7", ,98,98,1, ,4, ,2,"2,9,11", ,"1,4,7", ,1,2,4,98,1, ,11, ,1,1,98, ,98, ,3,1,2,3,1,3,3,1,2,2,1.37079511048435
4862,2018/6/5 上午 10:57:36.188000,1,4,2,1,2,2,1,2,200209,200709,96,2, ,1,98,2,20, ,2,",",2,2,98, ,98,98,"2,7", ,98,98,1, ,5, ,4,"4,5,9", ,"1,2,3", ,1,2,4,98,1, ,11, ,2,1,98, ,98, ,2,2,2,2,2,2,2,2,4,4,1.41954173735271
2769,2018/6/13 下午 21:46:06.864000,2,4,2,2,2,4,2,3,200408,201005,98,2, ,7,1,2,65, ,1,",",2,2,98, ,98,98,"1,2,5", ,98,98,1, ,4, ,1,"1,4,9", ,12,美國對於亞洲國家太不了解,1,1,4,98,1, ,11, ,1,1,98, ,98, ,6,1,98,98,1,98,98,98,98,98,1.43017064788568
2503,2018/6/14 上午 07:25:01.956000,1,5,2,2,1,3,2,4,200209,201212,101,1, ,5,98,1,74, ,1,",",2,2,98, ,98,98,"2,7", ,98,98,1, ,4, ,1,"1,9,11", ,4, ,1,1,3,3,1, ,11, ,2,1,98, ,98, ,2,1,3,98,1,98,2,98,98,98,1.45185519539658
3939,2018/6/6 上午 07:33:27.580000,2,2,2,1,2,2,1,1,200608,201201,100,2, ,1,98,1,28, ,1,",",1,2,98, ,98,98,7, ,98,98,1, ,4, ,2,"4,8,9", ,"2,6,11", ,1,1,4,98,1, ,11, ,2,1,98, ,98, ,2,1,2,2,2,3,1,2,2,2,1.45579351304975
3613,2018/6/7 下午 16:19:54.182000,1,3,2,1,2,2,1,1,200509,201007,98,2, ,1,98,2,23, ,2,",",1,2,98, ,98,98,7, ,98,98,1, ,5, ,2,"1,4,8", ,6, ,1,2,3,1,1, ,11, ,1,1,98, ,98, ,2,2,2,2,2,2,2,2,3,2,1.45807626437196
327,2018/6/25 下午 13:37:51.507000,1,4,2,1,2,2,1,1,199908,201306,101,2, ,1,98,99,77, ,1,",",1,2,98, ,98,98,7, ,98,98,1, ,2, ,3,2, ,4, ,1,1,1,98,1, ,11, ,5,1,98, ,98, ,5,5,5,5,5,5,5,5,5,5,1.57847312841939
3565,2018/6/8 上午 06:37:04.319000,2,3,2,1,2,2,1,2,201109,201505,103,2, ,1,98,1,24, ,1,",",2,2,98, ,98,98,7, ,98,98,1, ,7, ,2,"4,7,9", ,"1,2,3", ,1,1,3,1,1, ,11, ,2,2,4, ,42, ,1,2,98,98,98,98,98,2,98,98,1.92028391384543
1590,2018/6/25 上午 02:08:35.226000,2,5,1,1,2,2,1,2,200101,200504,93,2, ,7,2,2,15, ,2,",",2,2,98, ,98,98,"2,6,7", ,98,98,1, ,2, ,2,"1,2,5", ,12, ,1,1,4,98,1, ,11, ,2,1,98, ,98, ,1,1,1,1,1,1,1,1,3,1,1.95522480463108
939,2018/6/25 上午 09:22:49.253000,1,5,1,1,2,2,1,3,199709,200708,95,1, ,7,1,1,62, ,1,",",2,2,98, ,98,98,"2,4,7", ,98,1,1, ,4, ,1,"1,2,9", ,12,我對畢業學校並沒有什麼不滿意,1,1,4,98,1, ,11, ,2,1,98, ,98, ,1,1,98,98,1,98,98,98,98,98,2.1904307185294
1129,2018/6/25 上午 08:40:06.121000,1,2,2,1,2,2,1,2,201109,201504,103,2, ,1,98,2,20, ,1,",",2,2,98, ,98,98,4, ,98,3,1, ,4, ,1,12,自由的研究,12,幾乎沒有,1,2,4,98,1, ,11, ,2,2,6, ,62, ,2,1,98,98,1,98,98,98,98,98,2.35174665007135
1553,2018/6/25 上午 04:53:42.460000,1,5,2,1,2,2,2,2,200006,200406,92,2, ,7,1,2,15, ,1,",",2,2,98, ,98,98,"6,7", ,98,98,1, ,3, ,2,"1,2,10", ,"3,4", ,1,2,4,98,1, ,11, ,2,1,98, ,98, ,1,1,2,1,1,98,98,98,98,98,2.3911695779062
582,2018/6/25 上午 10:57:34.355000,1,5,2,1,2,2,1,2,199810,200302,91,2, ,7,1,2,15, ,1,",",1,2,98, ,98,98,7, ,98,98,1, ,4, ,2,13, , , ,1,1,3,2,1, ,11, ,3,1,98, ,98, ,6,2,6,6,3,3,6,6,6,6,3.77667614325
4539,2018/6/5 下午 14:23:51.955000,1,3,1,1,2,2,1,1,201308,201802,105,2, ,5,98,2,77, ,99,",",1,2,98, ,98,98,"6,7", ,98,98,1, ,7, ,2,"2,3,12", ,"1,4", ,1,2,3,1,1, ,11, ,2,1,98, ,98, ,2,2,2,2,1,1,1,2,1,2,6.48070453026684
4003,2018/6/5 下午 22:09:36.768000,2,9,2,2,2,4,5,5,200208,200507,93,2, ,1,98,1,73, ,1,",",2,1,1, ,2,4, , ,98,98,8, ,4, ,1,"1,2,9", ,7, ,4,98,98,98,98, ,98, ,98,98,98, ,98, ,1,1,1,1,1,1,1,1,1,2,.542809457798419
1434,2018/6/25 上午 06:57:11.506000,1,6,2,2,2,4,4,6,200809,201307,101,2, ,1,98,2,82,犯罪防治學系,5,",",1,1,3, ,2,4, , ,98,98,7, ,4, ,2,"2,8,9", ,"1,7", ,4,98,98,98,98, ,98, ,98,98,98, ,98, ,2,2,2,1,1,1,3,1,1,1,.0475443713379336
644,2018/6/25 上午 10:37:35.352000,2,8,1,1,2,2,4,6,199809,200906,97,1, ,1,98,2,62, ,1,",",2,1,2, ,2,3, , ,98,98,7, ,4, ,2,"1,8,9", ,7, ,4,98,98,98,98, ,98, ,98,98,98, ,98, ,3,3,4,3,3,3,3,1,1,3,.570514873735886
3767,2018/6/6 下午 15:41:22.367000,2,9,1,1,2,2,5,6,199908,200308,91,2, ,7,5,2,77, ,1,",",2,1,2, ,2,5, , ,98,98,7, ,4, ,1,"2,8,9", ,"6,7,10", ,4,98,98,98,98, ,98, ,98,98,98, ,98, ,2,98,98,1,1,98,98,1,98,98,.583039082140052
2715,2018/6/13 下午 22:18:09.359000,1,9,2,2,2,4,5,6,199109,200706,95,2, ,1,98,1,73, ,1,",",2,1,1, ,2,3, , ,98,98,7, ,2, ,1,13, , , ,4,98,98,98,98, ,98, ,98,98,98, ,98, ,1,1,1,1,1,1,1,1,2,2,.707703721590905
1289,2018/6/25 上午 08:02:53.102000,2,8,1,1,2,2,4,5,199509,200312,92,2, ,5,98,1,60, ,99,",",2,1,2, ,1,3, , ,98,98,7, ,8, ,1,"1,2,9", ,4, ,4,98,98,98,98, ,98, ,98,98,98, ,98, ,1,1,98,98,1,98,1,1,1,98,.711715290805728
3495,2018/6/10 下午 21:06:55.816000,1,9,2,2,2,4,7,7,200209,200606,94,2, ,2,98,1,20, ,1,",",1,1,4,自己公司,2,5, , ,98,98,7, ,2, ,1,13, , , ,4,98,98,98,98, ,98, ,98,98,98, ,98, ,2,3,2,1,1,1,3,1,3,1,1.04275460187883
1670,2018/6/21 下午 14:09:27.971000,1,8,2,2,2,4,6,7,200509,201401,102,1, ,2,98,2,77, ,2,",",2,1,2, ,2,4, , ,98,98,7, ,3, ,2,"8,9,10", ,"4,6", ,4,98,98,98,98, ,98, ,98,98,98, ,98, ,2,3,2,2,2,2,2,1,3,3,1.1886169679578
1543,2018/6/25 上午 05:09:23.594000,1,7,2,2,2,4,4,5,200108,200906,97,1, ,3,98,1,73, ,1,",",2,1,1, ,2,3, , ,98,98,7, ,3, ,2,"8,9", ,"2,3", ,4,98,98,98,98, ,98, ,98,98,98, ,98, ,3,3,2,2,3,3,3,2,3,3,1.53707800790933
2962,2018/6/13 下午 20:06:19.246000,2,6,2,2,1,3,3,5,199209,200106,89,1, ,1,98,2,30, ,3,",",2,1,3, ,2,4, , ,98,98,6, ,7, ,3,"2,5,8", ,"3,4", ,4,98,98,98,98, ,98, ,98,98,98, ,98, ,3,3,3,3,3,4,4,3,4,4,.173848032936575
2530,2018/6/14 上午 06:10:54.142000,2,8,2,2,2,4,5,6,200409,200807,96,2, ,5,98,2,71, ,1,",",2,1,2, ,2,3, , ,98,98,6, ,7, ,2,"2,9", ,7, ,4,98,98,98,98, ,98, ,98,98,98, ,98, ,1,1,1,1,1,1,1,1,1,3,.730535666394312
2083,2018/6/14 下午 14:14:20.388000,1,7,2,2,1,3,4,5,200009,200906,97,1, ,1,98,1,25, ,1,",",2,1,3, ,2,3, , ,98,98,6, ,2, ,2,"1,9", ,2, ,4,98,98,98,98, ,98, ,98,98,98, ,98, ,3,3,2,2,2,2,2,2,2,2,1.4185914823124
1345,2018/6/25 上午 07:44:59.836000,1,9,2,2,2,4,6,7,200308,200909,98,2, ,1,98,2,20, ,1,",",2,1,1, ,2,3, , ,98,98,6, ,4, ,2,2, ,12, ,4,98,98,98,98, ,98, ,98,98,98, ,98, ,2,3,3,2,1,2,2,2,2,2,1.45807626437196
24,2018/6/25 下午 21:39:41.821000,1,7,2,2,1,3,5,6,201007,201506,103,1, ,2,98,2,20, ,1,",",2,1,3, ,2,4, , ,98,98,6, ,7, ,2,"2,5", ,12,無,4,98,98,98,98, ,98, ,98,98,98, ,98, ,1,2,2,1,1,1,2,2,1,1,2.24045896144598
2634,2018/6/13 下午 23:18:52.009000,1,6,2,2,1,3,3,4,200009,200806,96,1, ,1,98,1,73, ,1,",",2,1,3, ,2,3, , ,98,98,5, ,3, ,2,"2,9", ,"5,11", ,4,98,98,98,98, ,98, ,98,98,98, ,98, ,3,98,98,2,98,2,98,98,98,98,1.11008849629937
2789,2018/6/13 下午 21:30:25.044000,2,9,2,2,1,3,7,8,200309,201002,98,1, ,3,98,2,40, ,2,",",2,1,3, ,2,5, , ,98,98,5, ,2, ,4,"1,2,8", ,"4,7", ,4,98,98,98,98, ,98, ,98,98,98, ,98, ,2,2,3,1,4,2,3,3,4,2,1.13346694401908
1643,2018/6/24 上午 06:53:46.534000,1,6,2,2,1,3,4,5,200809,201205,100,2, ,5,98,1,24, ,1,",",2,1,2, ,2,3, , ,98,98,5, ,8, ,1,"2,8,9", ,12,無,4,98,98,98,98, ,98, ,98,98,98, ,98, ,1,3,2,1,3,1,2,1,1,3,3.56397351402962
1622,2018/6/25 上午 01:15:06.784000,2,4,2,2,2,4,1,2,200209,200904,97,2, ,1,98,2,15, ,2,",",2,1,4,專科學校排課配合教師進修,2,3, , ,98,98,5, ,2, ,1,"1,2,3", ,6, ,2,98,98,98,98, ,98, ,98,98,98, ,98, ,2,2,2,98,98,2,98,98,98,2,.630977047854635
1671,2018/6/21 下午 13:42:51.636000,2,6,2,2,1,3,4,5,199409,200106,89,2, ,3,98,2,89, ,2,",",2,1,1, ,2,4, , ,98,98,4, ,7, ,2,9, ,5, ,4,98,98,98,98, ,98, ,98,98,98, ,98, ,3,3,3,3,2,3,2,2,3,5,.00128870131717094
956,2018/6/25 上午 09:18:31.010000,2,7,2,2,1,3,4,5,199709,200301,91,1, ,1,98,99,60, ,1,",",2,1,3, ,1,3, , ,98,98,4, ,1, ,1,"1,2,8", ,"7,11", ,4,98,98,98,98, ,98, ,98,98,98, ,98, ,1,2,1,2,1,1,1,3,1,3,.385050484783753
2303,2018/6/14 上午 09:58:37.896000,1,8,2,2,1,3,4,5,200009,200406,92,2, ,1,98,1,52, ,1,",",2,1,1, ,2,3, , ,98,98,4, ,5, ,1,"1,2,9", ,12,無,4,98,98,98,98, ,98, ,98,98,98, ,98, ,2,2,2,2,1,1,2,2,1,2,.55421864276584
595,2018/6/25 上午 10:51:53.416000,2,7,2,2,1,3,4,5,200309,201206,100,1, ,1,98,2,41, ,2,",",2,1,1, ,2,3, , ,98,98,4, ,5, ,2,"1,2,9", ,4, ,4,98,98,98,98, ,98, ,98,98,98, ,98, ,2,2,3,2,1,2,2,3,1,1,.643926813127967
145,2018/6/25 下午 16:31:43.916000,1,9,2,2,2,4,4,5,199109,200106,89,1, ,5,98,2,77, ,3,",",2,1,3, ,2,4, , ,98,98,4, ,5, ,3,"10,11", ,"1,2,4", ,4,98,98,98,98, ,98, ,98,98,98, ,98, ,2,2,1,2,2,2,2,2,3,6,.64873375296788
1589,2018/6/25 上午 02:10:16.673000,2,6,2,2,2,4,3,3,199908,200202,90,2, ,1,98,2,45, ,1,",",2,1,3, ,1,3, , ,98,98,4, ,5, ,3,"1,9", ,10, ,4,98,98,98,98, ,98, ,98,98,98, ,98, ,2,3,3,3,2,2,2,2,4,4,.657493236950871
4093,2018/6/5 下午 18:59:02.322000,2,8,2,2,2,4,4,5,200209,200806,96,2, ,1,98,1,77, ,1,",",2,1,2, ,2,4, , ,98,98,4, ,5, ,2,"8,9,10", ,"4,5,6", ,4,98,98,98,98, ,98, ,98,98,98, ,98, ,3,3,3,2,3,3,2,2,4,2,.704275891645615
90,2018/6/25 下午 18:14:52.041000,1,8,2,2,1,3,4,5,199707,200306,91,2, ,1,98,1,51, ,1,",",2,1,4,教師在職進修，集中排課,2,3, , ,98,98,4, ,1, ,2,"4,8,9", ,"2,5,6", ,4,98,98,98,98, ,98, ,98,98,98, ,98, ,2,1,3,3,1,2,1,3,4,4,.709510422477161
1438,2018/6/25 上午 06:56:17.904000,2,8,2,1,2,2,4,5,199909,200601,94,2, ,5,98,2,42, ,1,",",2,1,2, ,2,3, , ,98,98,4, ,3, ,2,"1,2,9", ,12,無,4,98,98,98,98, ,98, ,98,98,98, ,98, ,2,2,3,2,2,3,2,2,3,2,.769048138301416
818,2018/6/25 上午 09:52:39.387000,2,6,2,2,1,3,4,5,200308,201107,99,1, ,3,98,2,73, ,1,",",2,1,1, ,1,3, , ,98,98,4, ,5, ,2,"8,9", ,5, ,4,98,98,98,98, ,98, ,98,98,98, ,98, ,2,2,2,3,1,3,1,3,3,4,.792219196308296
80,2018/6/25 下午 18:36:36.266000,1,7,2,2,1,3,4,4,199709,200102,89,2, ,1,98,1,39,工程科學,99,",",2,1,1, ,2,3, , ,98,98,4, ,5, ,3,"4,9,12",自我挑戰,"1,2,3", ,4,98,98,98,98, ,98, ,98,98,98, ,98, ,2,2,2,4,1,4,2,2,6,6,.798881448553876
1935,2018/6/15 上午 08:43:39.146000,1,9,2,2,1,3,5,6,199906,200506,93,1, ,5,98,1,40, ,1,",",2,1,2, ,2,3, , ,98,98,4, ,9, ,2,"2,3", ,"5,6", ,4,98,98,98,98, ,98, ,98,98,98, ,98, ,1,1,1,2,2,3,2,2,2,2,.813755078373084
2064,2018/6/14 下午 15:18:05.243000,1,8,2,2,2,4,6,7,200108,200607,94,2, ,1,98,2,21, ,1,",",2,1,3, ,2,3, , ,98,98,4, ,3, ,1,"1,8,9", ,7, ,4,98,98,98,98, ,98, ,98,98,98, ,98, ,2,2,2,3,2,2,2,2,98,98,1.00000094986683
491,2018/6/25 上午 11:35:10.291000,1,8,2,2,1,3,4,5,199408,200307,91,1, ,1,98,2,20, ,2,",",2,1,1, ,2,3, , ,98,98,4, ,6, ,2,"1,9,11", ,10, ,4,98,98,98,98, ,98, ,98,98,98, ,98, ,2,2,2,2,2,2,2,2,3,2,1.02301502775777
1864,2018/6/15 下午 15:28:32.389000,1,9,2,2,1,3,5,6,199908,200506,93,2, ,1,98,2,22, ,1,",",2,1,4,邊教書邊進修,2,3, , ,98,98,4, ,6, ,1,"8,9", ,5, ,4,98,98,98,98, ,98, ,98,98,98, ,98, ,1,1,1,1,1,2,2,1,2,2,1.2481840821965
1419,2018/6/25 上午 07:08:09.265000,1,8,2,2,2,4,5,6,200208,200801,96,2, ,1,98,2,20, ,1,",",2,1,1, ,2,3, , ,98,98,4, ,3, ,2,"1,2,8", ,6, ,4,98,98,98,98, ,98, ,98,98,98, ,98, ,2,1,1,1,1,1,1,2,2,1,1.41954173735271
384,2018/6/25 下午 12:50:12.802000,1,8,2,2,1,3,5,6,200208,201007,98,1, ,1,98,1,20, ,3,",",2,1,1, ,2,4, , ,98,98,4, ,5, ,3,"9,10", ,"1,2", ,4,98,98,98,98, ,98, ,98,98,98, ,98, ,3,2,2,2,2,2,3,3,3,2,1.45807626437196
1983,2018/6/14 下午 19:43:52.202000,2,6,2,2,1,3,3,3,200409,201209,101,2, ,1,98,2,25, ,1,",",2,1,4,進修時段不排課,2,3, , ,98,98,4, ,5, ,2,"1,2", ,4, ,4,98,98,98,98, ,98, ,98,98,98, ,98, ,2,3,3,4,2,2,2,2,4,4,2.43973792497602
3457,2018/6/12 ?U?? 16:34:34.432000,2,7,1,1,1,1,1,4,199103,200104,89,2, ,4,98,1,21, ,4,",",1,1,3, ,1,1, , ,98,98,4, ,1, ,5,2, ,9, ,3,98,98,98,98, ,98, ,98,98,98, ,98, ,5,1,98,98,5,98,98,98,98,98,.779643696731397
1448,2018/6/25 上午 06:51:20.692000,1,5,2,2,2,4,2,2,200209,200606,94,2, ,5,98,1,77, ,2,",",2,1,3, ,2,3, , ,98,98,4, ,6, ,2,"1,2,4", ,12,無,2,98,98,98,98, ,98, ,98,98,98, ,98, ,3,3,3,4,2,3,3,4,3,3,.635349990879081
1709,2018/6/20 上午 07:54:24.227000,1,7,1,1,2,2,3,4,199909,200511,94,1, ,1,98,2,25, ,2,",",2,1,4, ,2,3, , ,98,98,4, ,7, ,2,"2,9", ,"3,5,8", ,2,98,98,98,98, ,98, ,98,98,98, ,98, ,2,98,98,98,4,98,98,2,98,98,1.00000094986683
4304,2018/6/5 下午 16:01:20.312000,1,6,2,2,2,4,4,6,200709,201605,104,1, ,5,98,1,71, ,1,",",2,1,1, ,2,4, , ,98,98,4, ,1, ,2,"1,2,9", ,"4,11", ,2,98,98,98,98, ,98, ,98,98,98, ,98, ,2,2,98,98,2,98,98,98,98,98,1.19484660088698
1482,2018/6/25 上午 06:24:32.392000,2,8,2,2,1,3,3,4,199309,200101,89,2, ,1,98,1,40, ,1,",",2,1,4,留職,1,2, , ,98,98,3, ,5, ,4,4, ,7, ,4,98,98,98,98, ,98, ,98,98,98, ,98, ,3,3,2,3,2,3,3,2,4,4,.354134881907838
278,2018/6/25 下午 14:15:24.697000,2,8,2,2,2,4,4,6,200007,200607,94,2, ,1,98,1,50, ,1,",",2,1,3, ,2,2, , ,98,98,3, ,6, ,1,"1,8,9", ,7, ,4,98,98,98,98, ,98, ,98,98,98, ,98, ,1,98,98,1,98,98,1,98,98,98,.610943268227659
2501,2018/6/14 上午 07:32:14.747000,1,9,2,2,2,4,7,7,200509,200709,96,2, ,2,98,2,73, ,5,",",2,1,2, ,2,5, , ,98,98,3, ,7, ,1,"2,8,9", ,4, ,4,98,98,98,98, ,98, ,98,98,98, ,98, ,1,1,1,1,1,1,1,1,4,4,.710317037361231
2291,2018/6/14 上午 10:04:08.695000,2,8,2,2,1,3,4,6,200009,200907,97,1, ,1,98,1,73, ,1,",",2,1,3, ,2,3, , ,98,98,3, ,8, ,1,"2,9,11", ,7, ,4,98,98,98,98, ,98, ,98,98,98, ,98, ,1,2,2,1,3,2,3,1,1,2,.763993830915882
66,2018/6/25 下午 19:18:49.663000,1,9,2,2,1,3,5,6,200009,200306,91,2, ,1,98,2,22, ,1,",",2,1,4,無請假,2,3, , ,98,98,3, ,5, ,2,13, , , ,4,98,98,98,98, ,98, ,98,98,98, ,98, ,2,2,2,2,2,3,3,2,3,3,1.02301502775777
2864,2018/6/13 下午 20:55:20.382000,1,9,2,2,2,4,7,7,200209,200606,94,2, ,2,98,1,20, ,1,",",1,1,4,自己公司,2,5, , ,98,98,3, ,2, ,2,13, , , ,4,98,98,98,98, ,98, ,98,98,98, ,98, ,2,2,2,2,2,2,2,98,3,2,1.04275460187883
4308,2018/6/5 下午 16:00:01.797000,2,8,2,2,2,4,6,7,200508,201207,100,2, ,3,98,1,73, ,1,",",2,1,1, ,2,4, , ,98,98,3, ,1, ,1,"1,2,9", ,5, ,4,98,98,98,98, ,98, ,98,98,98, ,98, ,2,1,2,1,3,3,3,2,1,1,1.1700104146348
725,2018/6/25 上午 10:11:49.265000,1,9,2,2,2,4,5,6,199806,200207,90,2, ,3,98,2,73, ,1,",",2,1,3, ,2,3, , ,98,98,3, ,2, ,2,"1,9,11", ,12,不能跨校選課,4,98,98,98,98, ,98, ,98,98,98, ,98, ,2,2,3,2,2,3,3,3,2,2,1.20634775731518
3522,2018/6/9 上午 08:50:03.349000,1,7,2,2,1,3,4,6,200209,201306,101,1, ,1,98,2,72, ,1,",",2,1,2, ,2,3, , ,98,98,3, ,9, ,2,11, ,"2,4,9", ,4,98,98,98,98, ,98, ,98,98,98, ,98, ,3,3,2,2,3,3,4,3,3,1,1.22256954868972
2402,2018/6/14 上午 08:50:14.748000,1,7,2,2,1,3,6,7,201109,201607,104,2, ,3,98,1,73,科學教育,2,",",2,1,1, ,2,3, , ,98,98,3, ,7, ,1,"1,9", ,6, ,4,98,98,98,98, ,98, ,98,98,98, ,98, ,2,1,2,2,1,1,1,2,1,1,1.43374792491361
3691,2018/6/6 下午 23:26:17.886000,2,9,2,2,1,3,7,8,200309,201002,98,1, ,3,98,2,74, ,4,",",2,1,3, ,2,6, , ,98,98,3, ,7, ,2,"1,2", ,7, ,4,98,98,98,98, ,98, ,98,98,98, ,98, ,6,6,3,2,4,4,4,1,2,2,1.88299794367787
1764,2018/6/18 下午 21:04:56.052000,2,6,2,2,1,3,4,5,200609,201407,102,2, ,3,98,1,73, ,1,",",2,1,1, ,2,3, , ,98,98,3, ,7, ,2,"2,9", ,4, ,4,98,98,98,98, ,98, ,98,98,98, ,98, ,1,1,1,1,1,2,2,1,2,2,1.98163696905069
1089,2018/6/25 上午 08:50:05.740000,1,6,1,1,2,2,3,5,200208,201101,99,1, ,5,98,1,20,機械與擠電工程,1,",",2,1,1, ,2,3, , ,98,98,3, ,7, ,6,"1,2,9", ,4, ,4,98,98,98,98, ,98, ,98,98,98, ,98, ,3,6,2,2,3,3,3,2,2,2,2.52136175532615
202,2018/6/25 下午 15:31:33.726000,1,8,2,2,1,3,5,7,200409,201508,103,1, ,2,98,2,17, ,1,",",2,1,2, ,2,4, , ,98,98,2, ,7, ,2,"1,9", ,7, ,4,98,98,98,98, ,98, ,98,98,98, ,98, ,2,2,2,2,98,98,98,2,98,98,.497624184113087
2881,2018/6/13 下午 20:51:47.052000,1,9,2,2,1,3,7,7,200609,201006,98,2, ,1,98,1,77, ,1,",",2,1,2, ,2,4, , ,98,98,2, ,1, ,2,"1,8,9", ,"4,5,6", ,4,98,98,98,98, ,98, ,98,98,98, ,98, ,1,1,2,3,2,3,3,6,4,3,.76789158910257
4272,2018/6/5 下午 16:16:52.616000,1,8,2,2,1,3,5,6,200209,200606,94,2, ,2,98,1,24, ,1,",",2,1,1, ,2,3, , ,98,98,2, ,7, ,1,"1,8,9", ,4, ,4,98,98,98,98, ,98, ,98,98,98, ,98, ,1,2,1,1,1,1,2,1,2,3,1.04275460187883
1312,2018/6/25 上午 07:57:30.665000,1,7,2,2,1,3,4,5,200106,201606,104,2, ,1,98,2,73, ,1,",",2,1,1, ,2,4, , ,98,98,2, ,3, ,2,"2,7", ,5, ,4,98,98,98,98, ,98, ,98,98,98, ,98, ,3,3,4,2,2,2,2,2,2,4,1.17788710034058
1479,2018/6/25 上午 06:26:42.902000,2,7,1,1,2,2,2,4,199309,200206,90,1, ,1,98,1,73, ,1,",",2,1,1, ,2,3, , ,98,98,1, ,3, ,3,"1,8,9", ,"4,6,7", ,4,98,98,98,98, ,98, ,98,98,98, ,98, ,3,2,98,2,98,98,98,98,98,98,.417494392580674
1357,2018/6/25 上午 07:40:50.610000,2,9,2,2,1,3,4,7,199409,200806,96,2, ,7,12,2,60, ,1,",",2,1,4, ,2,4, , ,98,98,1, ,7, ,1,"1,8,9", ,12, ,4,98,98,98,98, ,98, ,98,98,98, ,98, ,1,1,1,1,1,1,1,1,6,6,.441987034684849
