no,creation_date,q1_1,q1_2,q1_3_1,q1_3_2,q1_3_3,q1_3_3_r,q2_1,q2_2,q2_3_1,q2_3_2,q2_3_2_r,q2_3_3,q2_3_3_o,q2_4_1,q2_4_1_o,q2_4_2,q2_5_1,q2_5_1_o,q2_5_2,q2_5_2_o,q2_6_1,q2_6_2,q2_6_3,q2_6_3_o,q2_6_4,q2_6_5,q2_6_6,q2_6_6_o,q2_6_7,q2_6_8,q2_7_1,q2_7_1_o,q2_7_2,q2_7_2_o,q3_1,q3_2,q3_2_o,q3_3,q3_3_o,q4_1_1,q4_1_2,q4_1_3,q4_1_4,q4_2_1,q4_2_1_o,q4_2_2,q4_2_2_o,q4_3,q4_4_1,q4_4_2,q4_4_2_o,q4_4_3,q4_4_3_o,q4_5,q4_6_1,q4_6_2,q4_6_3,q4_6_4,q4_6_5,q4_6_6,q4_6_7,q4_6_8,q4_6_9,weight
4063,2018/6/5 下午 20:02:43.377000,2,2,1,1,2,2,1,2,200909,201307,101,2, ,2,98,1,15, ,1,",",2,2,98, ,98,98,"2,3,6,7", ,2,98,4, ,3, ,3,"7,9,10", ,"2,3,4", ,2,98,98,98,98, ,98, ,98,98,98, ,98, ,5,98,98,4,1,5,98,98,98,98,1.09637433525051
477,2018/6/25 上午 11:45:20.298000,2,3,2,1,2,2,1,2,200409,201306,101,1, ,1,98,1,11, ,1,",",1,2,98, ,98,98,"3,7", ,2,98,4, ,1, ,4,5, ,"8,9", ,2,98,98,98,98, ,98, ,98,98,98, ,98, ,4,3,2,1,2,3,1,98,98,98,1.3738429541643
164,2018/6/25 下午 16:12:34.818000,1,4,1,1,2,2,2,4,200907,201601,104,1, ,1,98,1,15, ,1,",",2,2,98, ,98,98,3, ,3,98,4, ,5, ,5,"4,5,9", ,"2,3,6", ,2,98,98,98,98, ,98, ,98,98,98, ,98, ,5,5,3,5,2,3,2,4,6,2,1.39887768325277
3623,2018/6/7 下午 15:13:48.675000,2,3,1,1,2,2,1,2,201308,201706,105,2, ,1,98,1,77, ,1,",",1,2,98, ,98,98,3, ,1,98,4, ,2, ,5,"3,4,8", ,"1,2,6", ,2,98,98,98,98, ,98, ,98,98,98, ,98, ,5,5,5,5,5,5,5,98,5,5,3.65950139070956
100,2018/6/25 下午 17:46:35.117000,1,6,2,2,2,4,3,4,200109,200709,96,2, ,5,98,2,77, ,2,",",2,2,98, ,98,98,"2,3,6", ,3,98,3, ,1, ,2,9, ,"2,8", ,2,98,98,98,98, ,98, ,98,98,98, ,98, ,2,3,98,2,98,98,98,98,98,98,.987750554660749
3680,2018/6/7 上午 02:01:52.882000,2,3,2,1,2,2,1,2,200609,201207,100,2, ,1,98,2,79, ,1,",",1,2,98, ,98,98,"3,7", ,2,98,1, ,4, ,3,"1,4,5", ,"2,3,7", ,3,98,98,98,98, ,98, ,98,98,98, ,98, ,5,4,5,5,5,5,3,6,5,5,.198131327116297
549,2018/6/25 上午 11:14:15.924000,1,2,2,1,2,2,1,1,201107,201607,104,2, ,1,98,1,11, ,1,",",1,2,98, ,98,98,"3,7", ,3,98,1, ,9, ,2,"5,7,9", ,12,雜事太多,3,98,98,98,98, ,98, ,98,98,98, ,98, ,2,3,3,2,3,2,6,3,3,2,1.05389898451525
1635,2018/6/24 下午 19:36:06.797000,1,5,2,1,2,2,3,4,200709,201410,103,2, ,1,98,1,16, ,1,",",2,2,98, ,98,98,3, ,4,98,1, ,7, ,1,"1,4,9", ,"2,5,7", ,3,98,98,98,98, ,98, ,98,98,98, ,98, ,2,2,3,3,2,2,3,1,2,4,1.09318461667454
4842,2018/6/5 上午 11:14:33.544000,2,3,2,1,2,2,1,2,200809,201301,101,2, ,1,98,1,11, ,1,",",2,2,98, ,98,98,"2,3", ,4,98,1, ,5, ,1,13, , , ,3,98,98,98,98, ,98, ,98,98,98, ,98, ,1,1,3,3,2,1,1,4,2,2,1.3738429541643
4438,2018/6/5 下午 14:58:18.538000,1,2,1,1,1,1,1,2,200809,201701,105,2, ,1,98,1,14, ,1,",",1,2,98, ,98,98,3, ,3,98,1, ,4, ,3,"6,9,10", ,"5,7,11", ,3,98,98,98,98, ,98, ,98,98,98, ,98, ,3,2,98,98,2,98,98,98,98,98,4.2479747372095
1753,2018/6/19 上午 01:12:45.248000,2,5,1,1,2,2,1,2,199409,200108,89,1, ,7,1,1,11, ,1,",",1,2,98, ,98,98,"2,3,5", ,5,98,1, ,3, ,3,"1,8,9", ,"2,3,10", ,2,98,98,98,98, ,98, ,98,98,98, ,98, ,3,1,3,1,1,2,2,2,6,3,.466514805851035
1952,2018/6/15 上午 00:35:03.902000,2,4,2,1,2,2,1,2,200409,201207,100,1, ,1,98,2,64, ,1,",",1,2,98, ,98,98,"3,4", ,2,1,1, ,4, ,4,"1,5,12",科技部補助千里馬,"3,4,10", ,2,98,98,98,98, ,98, ,98,98,98, ,98, ,4,5,98,2,4,98,98,2,98,98,.54014373701943
811,2018/6/25 上午 09:54:28.806000,1,5,2,1,2,2,1,2,199609,200407,92,1, ,1,98,2,40, ,5,",對生醫研究有興趣轉行",1,2,98, ,98,98,3, ,4,98,1, ,4, ,2,"1,8,9", ,"4,5,11", ,2,98,98,98,98, ,98, ,98,98,98, ,98, ,5,4,2,2,3,3,2,3,2,2,.770662667168341
4288,2018/6/5 下午 16:07:26.055000,2,3,1,1,2,2,1,3,201009,201606,104,2, ,5,98,1,77, ,1,",",2,2,98, ,98,98,3, ,1,98,1, ,4, ,4,"2,3,9", ,"5,7,11", ,2,98,98,98,98, ,98, ,98,98,98, ,98, ,4,4,98,98,4,98,98,98,98,98,.926579163980107
4855,2018/6/5 上午 11:06:15.295000,1,4,2,1,2,2,1,2,200306,200910,98,2, ,3,98,1,11, ,1,",",1,2,98, ,98,98,"2,3", ,3,98,1, ,4, ,5,9, ,"1,2,3", ,2,98,98,98,98, ,98, ,98,98,98, ,98, ,5,5,5,3,5,5,5,5,5,5,1.04650429316732
4664,2018/6/5 下午 13:26:41.759000,1,3,2,1,2,2,1,3,200909,201607,104,2, ,1,98,1,11, ,99,",",1,2,98, ,98,98,"3,7", ,3,98,1, ,4, ,1,"1,2,9", ,12,沒有,2,98,98,98,98, ,98, ,98,98,98, ,98, ,6,1,5,5,6,5,5,5,5,5,1.05389898451525
2798,2018/6/13 下午 21:26:37.705000,1,4,1,1,2,2,2,3,200609,201206,100,2, ,5,98,1,64, ,1,",",1,2,98, ,98,98,"2,3,6", ,1,98,1, ,4, ,2,"1,8,9", ,"3,4,6", ,2,98,98,98,98, ,98, ,98,98,98, ,98, ,2,2,4,5,2,4,3,5,2,5,1.32234273284637
346,2018/6/25 下午 13:23:15.300000,1,4,2,1,2,2,1,2,200208,200707,95,2, ,1,98,1,11, ,1,",",2,2,98, ,98,98,"3,7", ,3,98,1, ,4, ,3,"2,4,5", ,6, ,2,98,98,98,98, ,98, ,98,98,98, ,98, ,3,2,2,2,3,3,3,3,3,4,1.40614430546465
3792,2018/6/6 下午 14:14:46.615000,2,4,1,1,2,2,1,2,200309,201007,98,2, ,1,98,1,21, ,1,",",1,2,98, ,98,98,"2,3,4,7", ,2,1,1, ,4, ,2,"2,4", ,6, ,2,98,98,98,98, ,98, ,98,98,98, ,98, ,3,2,3,3,2,3,3,2,1,2,1.7515762776222
4714,2018/6/5 下午 12:50:50.468000,2,3,2,1,2,2,1,2,200907,201407,102,2, ,1,98,2,24, ,3,",",1,2,98, ,98,98,"2,3,4,6", ,2,1,1, ,5, ,3,"1,6,9", ,"8,11", ,2,98,98,98,98, ,98, ,98,98,98, ,98, ,3,3,4,4,3,4,3,4,2,2,2.19130606545487
913,2018/6/25 上午 09:30:53.150000,2,5,2,1,2,2,1,2,200008,200506,93,2, ,7,1,2,41, ,1,",",2,2,98, ,98,98,3, ,5,98,7, ,9, ,2,"2,5", ,3, ,1,1,4,98,9, ,999, ,2,1,98, ,98, ,1,3,2,2,1,1,1,2,3,1,.530944666774819
2702,2018/6/13 下午 22:26:28.544000,1,3,2,1,2,2,1,1,200409,200806,96,2, ,1,98,1,11, ,1,",",1,2,98, ,98,98,3, ,3,98,5, ,2, ,3,2, ,"1,3,4", ,1,1,4,98,9, ,999, ,2,1,98, ,98, ,2,3,3,3,2,2,2,3,3,3,.859314218849648
1279,2018/6/25 上午 08:05:37.183000,1,2,1,1,2,2,1,2,200906,201506,103,1, ,2,98,2,21, ,2,",",1,2,98, ,98,98,3, ,2,98,5, ,7, ,3,"1,10", ,9, ,1,1,3,1,9, ,999, ,4,2,9, ,999, ,4,4,3,3,3,3,4,3,2,3,2.24045896144598
476,2018/6/25 上午 11:45:21.515000,2,3,2,1,2,2,1,1,200409,200906,97,2, ,1,98,2,28, ,1,",",1,2,98, ,98,98,"3,4", ,1,1,1, ,2, ,3,2, ,"3,5", ,1,1,4,98,9, ,999, ,1,1,98, ,98, ,1,1,1,1,1,1,1,1,2,2,1.32434960028249
2922,2018/6/13 下午 20:31:31.232000,1,4,2,1,2,2,1,2,200509,201008,98,1, ,1,98,1,82,犯罪防治,1,",",2,2,98, ,98,98,3, ,5,98,8, ,7, ,2,"4,7,9", ,12,無,1,1,4,98,7, ,71, ,1,2,1, ,11, ,3,2,3,2,5,5,3,3,3,3,.0807019822942192
2728,2018/6/13 下午 22:12:47.951000,1,5,2,2,1,3,2,3,200009,200806,96,1, ,1,98,2,77, ,1,",",1,2,98, ,98,98,"3,4,6,7", ,2,1,4, ,8, ,1,"1,4,9", ,"6,7", ,1,1,3,1,7, ,72, ,1,1,98, ,98, ,1,2,3,2,1,3,2,2,1,2,.795491988081713
2574,2018/6/14 上午 00:30:13.074000,1,3,2,1,2,2,1,2,200707,201112,100,2, ,1,98,2,53, ,1,",",2,2,98, ,98,98,"3,7", ,3,98,1, ,7, ,1,"7,9,10", ,"3,6,8", ,1,1,4,98,7, ,72, ,3,2,1, ,12, ,2,5,4,4,1,1,1,1,3,2,1.4779027292352
1266,2018/6/25 上午 08:07:42.966000,1,6,2,2,1,3,2,3,199509,200408,92,1, ,1,98,2,15, ,1,",",2,2,98, ,98,98,"3,6,7", ,2,98,9, ,2, ,3,13, , , ,1,2,4,98,6, ,62, ,2,1,98, ,98, ,2,2,2,3,3,3,2,3,2,1,.75026538138598
2086,2018/6/14 下午 14:07:39.218000,1,5,2,1,2,2,1,2,199407,200107,89,2, ,1,98,1,50, ,1,",",1,2,98, ,98,98,"3,7", ,1,98,8, ,7, ,3,"4,7,9", ,"10,11", ,1,1,3,1,6, ,62, ,2,1,98, ,98, ,2,3,2,2,2,2,2,2,2,2,.51994995973676
3670,2018/6/7 上午 07:22:36.525000,1,5,2,1,2,2,1,1,199609,200101,89,2, ,1,98,1,27, ,1,",",1,2,98, ,98,98,"2,3", ,2,98,8, ,2, ,4,"4,9,10", ,"2,3", ,1,2,3,1,6, ,62, ,3,2,1, ,11, ,3,1,2,2,1,2,2,2,2,2,.798881448553876
1261,2018/6/25 上午 08:10:00.418000,2,6,2,2,1,3,3,3,200009,200406,92,2, ,1,98,1,50, ,1,",",2,2,98, ,98,98,"3,6,7", ,2,98,7, ,4, ,2,"2,8,11", ,4, ,1,2,4,98,6, ,62, ,3,2,1, ,11, ,5,3,4,98,3,5,3,3,98,98,.509264199458695
2452,2018/6/14 上午 08:29:43.192000,1,3,2,1,2,2,1,2,200609,201307,101,2, ,1,98,1,10, ,1,",",1,2,98, ,98,98,"3,7", ,3,98,7, ,10, ,3,"2,8,9", ,"6,7,10", ,1,2,4,98,6, ,62, ,3,1,98, ,98, ,3,6,6,6,6,6,6,2,6,6,1.23615365478627
4300,2018/6/5 下午 16:02:36.019000,1,4,2,1,2,2,1,2,200009,200612,95,2, ,1,98,2,50, ,1,",",1,2,98, ,98,98,"2,3,7", ,1,98,7, ,1, ,3,"1,2,9", ,4, ,1,1,4,98,6, ,61, ,3,1,98, ,98, ,2,2,3,3,4,1,4,2,6,6,.409060161589716
3466,2018/6/11 下午 23:27:25.483000,1,5,2,1,2,2,1,2,199609,200106,89,2, ,1,98,1,22, ,1,",",2,2,98, ,98,98,"3,4,6", ,1,1,7, ,3, ,4,"7,9,10", ,"3,4,5", ,1,1,4,98,6, ,61, ,4,2,1, ,11, ,4,4,3,2,6,3,3,2,4,2,.798881448553876
3615,2018/6/7 下午 16:12:14.543000,2,4,2,1,2,2,1,2,199709,200706,95,1, ,1,98,2,70, ,1,",",2,2,98, ,98,98,"3,7", ,1,98,6, ,9, ,4,"3,6,7", ,5, ,1,2,4,98,6, ,69, ,2,2,2, ,21, ,4,4,4,4,3,4,4,4,2,2,.81462542504664
2281,2018/6/14 上午 10:10:05.171000,1,5,2,1,2,2,1,2,199709,200206,90,2, ,1,98,1,50, ,1,",",1,2,98, ,98,98,3, ,3,98,5, ,3, ,2,"1,2,9", ,6, ,1,1,3,1,6, ,63, ,2,1,98, ,98, ,1,6,98,2,3,2,98,98,98,98,.478072032626938
204,2018/6/25 下午 15:27:48.571000,1,3,2,1,2,2,1,2,200509,201007,98,2, ,1,98,1,16, ,1,",",1,2,98, ,98,98,"2,3,7", ,3,98,5, ,1, ,2,"1,2,3", ,"5,6,11", ,1,2,3,2,6, ,63, ,5,2,1, ,11, ,2,3,98,98,98,3,98,98,98,98,.987792263281243
1070,2018/6/25 上午 08:56:00.765000,1,4,2,1,2,2,1,2,200309,200908,97,2, ,1,98,2,15, ,1,",",2,2,98, ,98,98,3, ,4,98,5, ,4, ,3,"8,9", ,"5,6,11", ,1,1,4,98,6, ,62, ,2,1,98, ,98, ,2,98,98,98,2,2,98,98,98,98,.675877929385318
1267,2018/6/25 上午 08:07:27.912000,1,4,1,1,2,2,1,2,200109,201007,98,1, ,1,98,2,77, ,1,",",1,2,98, ,98,98,"2,3,6", ,2,98,5, ,2, ,3,9, ,2, ,1,1,4,98,6, ,61, ,2,1,98, ,98, ,3,3,2,3,3,2,3,3,2,2,.76789158910257
